"date","sessions","total_pageviews","total_bounces","avg_pageviews","avg_bounce"
2016-08-01,1701,9843,728,5.78659611992945,0.42798353909465
2016-08-03,2849,13724,1390,4.81712881712882,0.487890487890488
2016-08-02,2107,11784,962,5.59278595158994,0.456573327005221
2016-08-04,3094,13326,1553,4.30704589528119,0.501939237233355
2016-08-06,1650,6926,867,4.19757575757576,0.525454545454546
2016-08-05,2643,13585,1305,5.13999243284147,0.493757094211124
2016-08-07,1606,7239,874,4.50747198007472,0.544209215442092
2016-08-08,2751,13179,1292,4.79062159214831,0.469647400945111
2016-08-09,2797,13411,1361,4.79478012155881,0.486592777976403
2016-08-11,2620,12860,1289,4.90839694656489,0.491984732824428
2016-08-10,2700,13003,1386,4.81592592592593,0.513333333333333
2016-08-12,2566,15583,1198,6.07287607170694,0.466874512860483
2016-08-13,1577,6387,903,4.05009511731135,0.572606214331008
2016-08-14,1784,8074,993,4.52578475336323,0.556614349775785
2016-08-15,2987,14754,1420,4.93940408436558,0.475393371275527
2016-08-16,2823,14311,1386,5.06942968473255,0.490967056323061
2016-08-17,2759,14028,1371,5.0844508880029,0.496919173613628
2016-08-18,2683,12710,1346,4.73723443906075,0.501677226984719
2016-08-19,2345,11557,1134,4.92835820895522,0.483582089552239
2016-08-20,1656,7776,872,4.69565217391304,0.526570048309179
2016-08-21,1717,7610,940,4.43214909726267,0.547466511357018
2016-08-22,2535,12934,1207,5.10216962524655,0.476134122287968
2016-08-23,2714,13005,1367,4.79182019159912,0.503684598378777
2016-08-24,2581,12850,1251,4.97869043006587,0.484695854320031
2016-08-25,2515,14374,1223,5.71530815109344,0.486282306163022
2016-08-26,2328,12163,1159,5.22465635738832,0.497852233676976
2016-08-27,1630,7924,902,4.86134969325153,0.553374233128834
2016-08-28,1673,8593,896,5.13628212791393,0.535564853556485
2016-08-29,2419,12270,1198,5.07234394377842,0.495245969408847
2016-08-30,2624,11794,1319,4.49466463414634,0.502667682926829
2016-08-31,3142,14788,1493,4.70655633354551,0.475175047740293
2016-09-01,2634,12935,1276,4.91078208048595,0.484434320425209
2016-09-02,2554,11190,1324,4.38136256851997,0.51840250587314
2016-09-03,1715,6531,958,3.80816326530612,0.558600583090379
2016-09-04,1670,6419,932,3.8437125748503,0.558083832335329
2016-09-05,2090,8422,1156,4.02966507177034,0.55311004784689
2016-09-06,2468,11355,1228,4.60089141004862,0.497568881685575
2016-09-07,2528,11203,1246,4.4315664556962,0.492879746835443
2016-09-08,2587,14680,1302,5.67452647854658,0.503285659064554
2016-09-10,1652,7531,854,4.55871670702179,0.516949152542373
2016-09-09,2465,11998,1197,4.86734279918864,0.485598377281947
2016-09-11,1705,6628,943,3.88739002932551,0.553079178885631
2016-09-12,2417,11350,1167,4.69590401323955,0.482829954489036
